track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,danceability_%,energy_%
MIDDLE OF THE NIGHT,Elley Duhï¿,1,2020,1,10,872137015,41,61
Streets,Doja Cat,1,2019,11,7,865640097,75,46
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15,863756573,82,86
MONEY,Lisa,1,2021,9,10,863625566,83,55
I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,3,19,851070493,75,61
happier,Olivia Rodrigo,1,2021,5,21,850608354,39,45
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,843957510,71,61
The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1,843309044,92,89
Apocalypse,Cigarettes After Sex,1,2017,3,21,841749534,37,47
Dream On,Aerosmith,1,1973,1,5,838586769,39,43
Bones,Imagine Dragons,1,2021,3,11,838079900,77,72
Santa Tell Me,Ariana Grande,1,2013,12,13,834129063,46,63
Good Days,SZA,1,2020,12,24,826623384,46,78
Freaks,Surf Curse,1,2015,5,10,824420218,35,94
Bad Habit,Steve Lacy,1,2022,6,29,822633917,69,51
Lost,Frank Ocean,1,2012,1,1,822239726,91,61
cardigan,Taylor Swift,1,2020,7,24,812019557,61,58
Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,25,809306935,87,69
It's Beginning To Look A Lot Like Christmas,Michael Bublï¿,1,2011,10,14,807561936,35,23
Golden,Harry Styles,1,2019,12,13,807015863,45,84
Pink + White,Frank Ocean,1,2016,8,20,806397070,54,55
Cruel Summer,Taylor Swift,1,2019,8,23,800840817,55,72
RAPSTAR,Polo G,1,2021,4,9,797402345,79,54
Levitating,Dua Lipa,1,2020,3,27,797196073,69,88
Space Song,Beach House,1,2015,1,1,789753877,51,79
Style,Taylor Swift,1,2014,1,1,786181836,60,79
favorite crime,Olivia Rodrigo,1,2021,5,21,783706581,40,29
DESPECHï¿,ROSALï¿½,1,2022,7,28,782369383,92,62
Bored,Billie Eilish,1,2017,3,30,777765388,60,33
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,775542072,64,70
Rockin' Around The Christmas Tree,Brenda Lee,1,1958,1,1,769213520,70,41
La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,759208783,74,87
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4,756907987,76,70
golden hour,JVKE,1,2022,7,15,751134527,51,59
Late Night Talking,Harry Styles,1,2022,5,20,743693613,71,73
Jingle Bell Rock,Bobby Helms,1,1957,1,1,741301563,74,37
love nwantiti (ah ah ah),Ckay,1,2019,7,26,726837877,74,73
Until I Found You,Stephen Sanchez,1,2021,9,1,726434358,34,51
SNAP,Rosa Linn,1,2022,3,19,726307468,56,64
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,725980112,67,76
About Damn Time,Lizzo,1,2022,7,15,723894473,84,74
About Damn Time,Lizzo,1,2022,4,14,723894473,84,74
we fell in love in october,girl in red,1,2018,11,21,723043854,57,37
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,721975598,78,63
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,2021,1,28,720825549,89,82
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,720434240,88,59
MAMIII,"Karol G, Becky G",2,2022,2,10,716591492,84,70
SNAP,Rosa Linn,1,2022,3,19,711366595,56,64
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,705469769,32,74
Master of Puppets (Remastered),Metallica,1,1986,3,3,704171068,54,83
Bound 2,Kanye West,1,2013,1,1,703301727,37,66
After Hours,The Weeknd,1,2020,2,19,698086140,66,57
First Class,Jack Harlow,1,2022,4,8,694525298,91,56
Snowman,Sia,1,2017,1,1,690104769,72,51
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,686734357,66,68
A Tu Merced,Bad Bunny,1,2020,2,29,685071800,86,79
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,685032533,62,53
Reminder,The Weeknd,1,2016,11,25,684675814,71,50
Una Noche en Medellï¿½,Cris Mj,1,2022,1,21,682475162,87,53
Romantic Homicide,d4vd,1,2022,7,20,681583126,56,55
Cool for the Summer,Demi Lovato,1,2015,1,1,677389855,59,62
Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1,675039469,93,74
Do It To It,"Cherish, ACRAZE",2,2021,8,20,674772936,85,81
Hey Mor,"Ozuna, Feid",2,2022,10,6,674072710,90,59
Volvï¿,"Aventura, Bad Bunny",2,2021,8,3,673801126,73,86
You Right,"Doja Cat, The Weeknd",2,2021,6,24,672656250,83,62
Neverita,Bad Bunny,1,2022,5,6,671365962,88,50
"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,665765558,70,58
It's the Most Wonderful Time of the Year,Andy Williams,1,1963,10,14,663832097,24,60
Gasolina,Daddy Yankee,1,2004,7,13,657723613,86,80
The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,4,656013912,75,76
Superman,"Eminem, Dina Rae",2,2002,5,26,655466831,80,76
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,652704649,77,71
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28,651732901,72,72
After Dark,Mr.Kitty,1,2014,8,8,646886885,58,60
Here With Me,d4vd,1,2022,7,17,635412045,58,48
Mistletoe,Justin Bieber,1,2011,1,1,629173063,67,54
2055,Sleepy hallow,1,2021,4,14,624515457,78,52
Sparks,Coldplay,1,2000,7,10,624101957,37,27
Enchanted,Taylor Swift,1,2010,1,1,621660989,45,62
TQG,"Karol G, Shakira",2,2023,2,23,618990393,72,63
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,618885532,54,67
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,614555082,83,80
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,10,22,611994237,56,67
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,611700552,59,48
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,610045621,66,69
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3,609293408,74,69
Permission to Dance,BTS,1,2021,7,9,608334048,70,74
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,608228647,80,68
august,Taylor Swift,1,2020,7,24,607123776,51,61
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21,606361689,70,64
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,601863821,87,55
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,600976848,34,57
Softcore,The Neighbourhood,1,2018,3,9,599770206,57,58
Miï¿½ï¿½n,"Tini, Maria Becerra",2,2021,4,29,596152090,85,54
CUFF IT,Beyoncï¿,1,2022,7,29,595900742,78,69
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,594482982,85,37
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,593917618,67,47
Only Love Can Hurt Like This,Paloma Faith,1,2014,1,1,588955257,57,89
Yandel 150,"Yandel, Feid",2,2022,12,20,585695368,78,73
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,583687007,63,52
Toxic,BoyWithUke,1,2021,9,10,582981380,59,61
House Of Memories,Panic! At The Disco,1,2016,1,15,582863434,51,82
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28,579395142,77,84
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,578207856,75,76
Rich Flex,"Drake, 21 Savage",2,2022,11,4,573633020,56,52
Atlantis,Seafret,1,2015,4,22,571386359,40,48
Angels Like You,Miley Cyrus,1,2020,11,27,570515054,67,64
Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,1,566954746,77,79
Still Don't Know My Name,Labrinth,1,2019,10,4,563902868,31,63
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27,560222750,71,61
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,556585270,46,64
Formula,Labrinth,1,2019,10,4,554875730,57,66
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,553634067,81,48
Pink Venom,BLACKPINK,1,2022,8,19,551305895,80,69
Envolver,Anitta,1,2021,11,11,546191065,81,73
Es un Secreto,Plan B,1,2010,7,20,540654286,84,77
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,30,540539717,58,60
